,Suburb,Latitude,Longitude
302,ILLAWONG,-33.9973348,151.0429726
303,INGLEBURN,-33.9983333,150.8511111
304,INGLESIDE,-33.6882558,151.2525009
305,JAMISONTOWN,-33.7679769,150.674815
306,JANNALI,-34.0163159,151.0658096
307,JORDAN SPRINGS,-33.7250215,150.7271271
308,KANGAROO POINT,-34.002073,151.0967132
309,KAREELA,-34.0157553,151.0812662
310,KEARNS,-34.0233333,150.8011111
311,KELLYVILLE,-33.71308785,150.9351247631542
312,KELLYVILLE RIDGE,-33.7025,150.9186111
313,KEMPS CREEK,-33.8721433,150.7938975
314,KENSINGTON,32.7633187,-117.1064126
315,KENTHURST,-33.6436678,150.9761716
316,KENTLYN,-34.0591667,150.8697222
317,KILLARA,-36.1400755,146.9504284
318,KILLARNEY HEIGHTS,-33.7724836,151.221976
319,KINGS LANGLEY,51.7135573,-0.4503027
320,KINGS PARK,51.4508257,-2.560017322098082
321,KINGSFORD,45.794956,-88.072071
322,KINGSGROVE,-33.9371844,151.0996523
323,KINGSWOOD,-33.7613772,150.7213283
324,KIRKHAM,53.7827278,-2.8714885
325,KIRRAWEE,-34.0316284,151.0665964
326,KIRRIBILLI,-33.8476659,151.2158138
327,KOGARAH,-33.968226,151.1354509
328,KOGARAH BAY,-33.9816792,151.1239702
329,KU-RING-GAI CHASE,-33.6502778,151.2008333
330,KURNELL,-34.0222379,151.1880555
331,KURRABA POINT,-33.8415873,151.223028
332,KYEEMAGH,-33.9492195,151.1607373
333,KYLE BAY,-33.9897577,151.0992166
334,LA PEROUSE,43.1119613,12.3890104
335,LAKEMBA,-33.9196311,151.0749236
336,LALOR PARK,-33.7649937,150.9288833
337,LANE COVE,-33.8160672,151.1678195
338,LANE COVE NORTH,-33.8059265,151.1617117
339,LANE COVE WEST,-33.8119396,151.150078
340,LANSDOWNE,39.2451071,-76.660524
341,LANSVALE,-33.9003985,150.9510782
342,LAUGHTONDALE,-33.4224715,151.0267219
343,LAVENDER BAY,-33.8432002,151.2074155
344,LEETS VALE,-33.4316667,150.9511111
345,LEICHHARDT,-33.8819328,151.155867
346,LEN WATERS ESTATE,-33.9146,150.8532
347,LEPPINGTON,-33.9650028,150.8011028
348,LETHBRIDGE PARK,-33.7386041,150.8014499
349,LEUMEAH,-34.0543113,150.8371354
350,LEWISHAM,51.4624325,-0.0101331
351,LIBERTY GROVE,-33.8413889,151.0838889
352,LIDCOMBE,-33.8630649,151.0456771
353,LILLI PILLI,-34.0680729,151.1159938
354,LILYFIELD,-33.8709879,151.1616185
355,LILYVALE,-34.1922623,151.0059336
356,LINDFIELD,-33.7755964,151.1692612
357,LINLEY POINT,-33.8272222,151.15
358,LITTLE BAY,-33.9834309,151.2470329
359,LIVERPOOL,-33.9198252,150.92566
360,LLANDILO,-33.715,150.7511111
361,LOFTUS,54.53371065,-0.8815308518781887
362,LONDONDERRY,-33.6483333,150.7344444
